Date	316 HK Equity	1378 HK Equity	883 HK Equity	1171 HK Equity	386 HK Equity	1308 HK Equity	1088 HK Equity	998 HK Equity	600019 CH Equity	1919 HK Equity	3988 HK Equity	1288 HK Equity	3323 HK Equity	762 HK Equity	857 HK Equity	3328 HK Equity	728 HK Equity	941 HK Equity	939 HK Equity	000651 CH Equity	601088 CH Equity	2007 HK Equity	601006 CH Equity	1398 HK Equity	002157 CH Equity	601155 CH Equity	267 HK Equity	1044 HK Equity	601328 CH Equity	600028 CH Equity	601169 CH Equity	17 HK Equity	868 HK Equity	601225 CH Equity	601988 CH Equity	688 HK Equity	000002 CH Equity	601818 CH Equity	601288 CH Equity	2628 HK Equity	6 HK Equity	601398 CH Equity	000069 CH Equity	600000 CH Equity	601939 CH Equity
1/28/22	183.500	8.630	9.340	16.520	4.060	28.900	19.500	3.730	8.624	13.760	3.030	2.930	9.950	4.080	3.900	5.220	2.930	52.550	5.960	46.340	27.610	6.37	8.097	4.68	10.841	40.730	8.65	38.5	5.806	5.133	5.500	31.65	20.5	15.361	3.785	22.95	24.903	4.091	3.626	13.5	48.5	5.708	9.444	10.302	7.337
1/31/22	192.000	8.700	9.360	16.440	4.080	29.500	19.080	3.710	8.624	14.020	3.030	2.960	10.080	4.110	3.870	5.220	2.940	52.500	5.960	46.340	27.610	6.39	8.097	4.71	10.841	40.730	8.7	38.1	5.806	5.133	5.500	31.7	20.55	15.361	3.785	22.95	24.903	4.091	3.626	13.62	47.85	5.708	9.444	10.302	7.337
2/4/22	199.700	8.970	9.500	17.220	4.140	29.450	20.000	3.750	8.624	14.160	3.060	2.990	10.380	4.190	3.970	5.290	3.010	54.350	6.060	46.340	27.610	6.46	8.097	4.78	10.841	40.730	8.73	38.9	5.806	5.133	5.500	32.35	21.4	15.361	3.785	23.5	24.903	4.091	3.626	13.9	48.8	5.708	9.444	10.302	7.337
2/7/22	203.000	8.980	9.900	17.880	4.210	29.850	20.450	3.790	8.929	14.200	3.110	3.040	10.700	4.280	4.100	5.360	3.110	56.000	6.160	46.814	28.796	6.49	8.280	4.84	9.762	42.111	8.8	39.7	5.965	5.340	5.598	32.25	21.2	15.984	3.834	23.55	25.612	4.165	3.675	14.02	48.75	5.806	9.284	10.436	7.508
2/8/22	210.400	9.410	9.790	18.940	4.200	29.950	21.600	3.830	9.329	15.140	3.140	3.050	10.740	4.250	4.130	5.400	3.100	56.250	6.150	47.121	30.557	6.44	8.680	4.86	8.778	42.224	8.8	40.1	6.048	5.411	5.693	32.2	21.15	16.833	3.881	23.7	25.562	4.248	3.746	14.18	49.2	5.938	9.329	10.590	7.749
2/9/22	212.000	9.970	9.860	18.980	4.220	31.100	20.950	3.820	9.331	15.040	3.150	3.060	10.760	4.350	4.120	5.440	3.190	57.900	6.170	47.240	29.926	6.5	8.547	4.89	8.743	41.755	8.76	40.9	6.024	5.375	5.669	33.05	21.5	16.788	3.869	23.45	25.102	4.237	3.735	14.3	49.65	5.926	9.098	10.580	7.702
2/10/22	203.400	10.540	9.860	19.700	4.190	31.500	21.800	3.850	9.446	15.120	3.180	3.080	11.500	4.330	4.090	5.530	3.110	56.300	6.160	47.523	31.404	6.79	8.795	4.89	9.630	42.297	8.9	41	6.109	5.459	5.716	33.6	22.3	17.174	3.913	24.35	25.577	4.269	3.778	14.46	49.9	5.962	9.716	10.660	7.765
2/11/22	203.400	10.500	9.950	19.840	4.210	31.400	22.350	3.880	9.413	15.580	3.200	3.130	11.340	4.320	4.140	5.550	3.050	56.350	6.180	48.969	32.044	6.82	8.763	4.93	9.205	44.575	8.97	41.1	6.149	5.523	5.744	33.35	22.75	17.366	3.915	24.85	25.994	4.271	3.780	14.94	49.9	5.977	9.413	10.726	7.818
2/14/22	197.200	10.540	9.960	19.260	4.180	31.400	21.800	3.860	9.033	15.040	3.180	3.120	10.980	4.350	4.250	5.520	3.070	55.250	6.140	48.799	31.629	6.53	8.653	4.88	8.886	41.582	8.9	40.7	6.039	5.449	5.670	32.8	21.6	17.146	3.891	24.1	24.841	4.222	3.731	14.48	49.9	5.891	8.972	10.555	7.683
2/15/22	191.000	10.460	9.700	19.000	4.030	31.750	21.650	3.770	8.959	14.920	3.090	3.030	10.860	4.240	4.100	5.380	3.000	54.600	5.960	48.167	30.889	6.4	8.639	4.75	8.873	39.848	8.77	40.95	6.006	5.353	5.673	32.95	21.45	16.909	3.877	23.95	24.379	4.209	3.717	13.98	50.3	5.858	8.861	10.522	7.642
